time_s,tp_per_leg_nm,left_theta_world_rad,right_theta_world_rad
0.001,-40.0,0.0,0.0
0.002,-40.0,-0.000460931087334312,-0.000460931087334312
0.003,-40.0,-0.0013793434042525,-0.0013793434042525677
0.004,-40.0,-0.0027527947830556705,-0.0027527947830556705
0.005,-40.0,-0.004578871434903731,-0.004578871434903731
0.006,-40.0,-0.006855158974217279,-0.006855158974217211
0.007,-40.0,-0.00957923832294825,-0.009579238322948248
0.008,-40.0,-0.012748681093272778,-0.012748681093272778
0.009000000000000001,-40.0,-0.01636104391077122,-0.01636104391077122
0.010000000000000002,-40.0,-0.020413861774474396,-0.020413861774474466
0.011000000000000003,-40.0,-0.024904640552048267,-0.024904640552048333
0.012000000000000004,-40.0,-0.029830848698918506,-0.02983084869891851
0.013000000000000005,-40.0,-0.035189908283783884,-0.035189908283783884
0.014000000000000005,-40.0,-0.04097918539907564,-0.04097918539907571
0.015000000000000006,-40.0,-0.0471959800328777,-0.04719598003287777
0.016000000000000007,-40.0,-0.053837515478221146,-0.053837515478221146
0.017000000000000008,-40.0,-0.0609009273562994,-0.0609009273562994
0.01800000000000001,-40.0,-0.06838325233187093,-0.06838325233187093
0.01900000000000001,-40.0,-0.07628141660184164,-0.07628141660184164
0.02000000000000001,-40.0,-0.08459222424172229,-0.08459222424172229
0.02100000000000001,-40.0,-0.09331234549930444,-0.09331234549930444
0.022000000000000013,-40.0,-0.10243830513051382,-0.10243830513051388
0.023000000000000013,-40.0,-0.11196647087899178,-0.11196647087899178
0.024000000000000014,-40.0,-0.1218930422085684,-0.12189304220856846
0.025000000000000015,-40.0,-0.13221403940646584,-0.13221403940646592
0.026000000000000016,-40.0,-0.1429252931848824,-0.1429252931848824
0.027000000000000017,-40.0,-0.15402243491963716,-0.1540224349196372
0.028000000000000018,-40.0,-0.16550088767689203,-0.1655008876768921
0.02900000000000002,-40.0,-0.1773558581927518,-0.17735585819275174
0.03000000000000002,-40.0,-0.18958232998588953,-0.18958232998588945
0.03100000000000002,-40.0,-0.20217505780043393,-0.20217505780043393
